run_id,rx,ry,Cd,Cl
0,1.6839,0.3860,0.01322,0.00594
1,2.2506,0.3782,0.01388,0.00677
2,1.7121,0.4051,0.01522,0.00773
3,1.6694,0.4289,0.01693,0.00912
4,2.2537,0.3654,0.01235,0.00677
5,2.0829,0.3993,0.01446,0.00727
6,1.9507,0.3176,0.01002,0.00501
7,1.5584,0.4736,0.02182,0.01085
8,2.0844,0.4057,0.01490,0.00741
9,2.3295,0.3192,0.01090,0.00648
10,1.8762,0.4765,0.02059,0.00952
11,2.3584,0.4197,0.01860,0.01038
12,1.9013,0.3817,0.01290,0.00553
13,2.0172,0.3719,0.01226,0.00710
14,1.5235,0.3400,0.00996,0.00470
15,2.2573,0.3499,0.01157,0.00559
16,2.4323,0.4289,0.02061,0.01120
17,2.4686,0.3086,0.01163,0.00511
18,2.4330,0.3422,0.01348,0.00531
19,2.1780,0.3255,0.00998,0.00473
20,1.9861,0.4043,0.01523,0.00731
21,2.3517,0.4287,0.01972,0.00997
22,1.9064,0.3970,0.01184,0.00661
23,2.3068,0.3159,0.01038,0.00614
24,1.5264,0.4082,0.01541,0.00662
25,1.7900,0.4770,0.02463,0.01408
26,1.7370,0.4891,0.02502,0.01178
27,2.4682,0.4357,0.02111,0.01104
28,1.9633,0.4555,0.01819,0.00832
29,2.4193,0.4992,0.02621,0.00990
30,1.8388,0.4145,0.01500,0.00804
31,1.9087,0.3809,0.01365,0.00649
32,1.5954,0.3027,0.00843,0.00468
33,2.0508,0.3555,0.01178,0.00539
34,2.4322,0.3339,0.01193,0.00711
35,1.6319,0.4143,0.01633,0.00843
36,1.6219,0.3467,0.00979,0.00450
37,1.5871,0.4076,0.01471,0.00883
38,2.1282,0.4253,0.01709,0.00850
39,2.1064,0.4657,0.02094,0.01043
40,2.4052,0.4674,0.02444,0.01137
41,2.3416,0.4471,0.02465,0.01309
42,1.7502,0.3859,0.01375,0.00731
43,1.9590,0.4124,0.01562,0.00780
44,1.8987,0.3977,0.01391,0.00628
45,1.7064,0.3069,0.00843,0.00365
46,1.6838,0.3550,0.01183,0.00601
47,1.7569,0.3939,0.01517,0.00721
48,2.1926,0.3863,0.01322,0.00642
49,2.2334,0.4264,0.01779,0.00891
50,1.7355,0.4192,0.01663,0.00914
51,1.5002,0.3712,0.01183,0.00658
52,1.8145,0.4021,0.01361,0.00750
53,1.9270,0.4974,0.02467,0.01324
54,1.5903,0.3507,0.01150,0.00456
55,2.3105,0.4196,0.01848,0.00900
56,1.8147,0.4192,0.01685,0.00858
57,2.3713,0.3114,0.01020,0.00518
58,1.7805,0.3440,0.01074,0.00556
59,2.0899,0.3589,0.01201,0.00614
60,1.5133,0.4045,0.01379,0.00496
61,2.2449,0.3353,0.01087,0.00479
62,1.8012,0.4122,0.01571,0.00731
63,2.4818,0.4644,0.02498,0.01393
64,1.6044,0.4464,0.01910,0.00798
65,1.7907,0.4379,0.01695,0.00762
66,1.6838,0.3220,0.00810,0.00437
67,2.4408,0.4666,0.02316,0.01129
68,2.0399,0.4448,0.01778,0.00656
69,1.6251,0.3523,0.00927,0.00473
70,1.6039,0.4465,0.01807,0.00964
71,1.7100,0.3446,0.01147,0.00605
72,2.4755,0.3420,0.01358,0.00618
73,1.5334,0.4879,0.02575,0.01509
74,2.0799,0.4804,0.01883,0.00973
75,1.8531,0.4332,0.01604,0.00715
76,2.1352,0.3208,0.00931,0.00469
77,1.8199,0.3936,0.01339,0.00596
78,2.2202,0.3217,0.00927,0.00477
79,2.1882,0.4991,0.02552,0.01176
80,1.6018,0.4729,0.02268,0.00999
81,2.3256,0.4313,0.01853,0.00950
82,2.0935,0.4629,0.02127,0.00968
83,1.6808,0.4761,0.02339,0.01213
84,2.3291,0.4958,0.02657,0.01378
85,2.3715,0.4734,0.02517,0.01260
86,2.0827,0.4261,0.01707,0.00762
87,1.9742,0.4834,0.02187,0.01166
88,2.2488,0.3115,0.01043,0.00503
89,1.8257,0.4066,0.01525,0.00788
90,2.4855,0.4664,0.02541,0.01062
91,2.3681,0.3492,0.01265,0.00706
92,1.8078,0.4773,0.01995,0.00773
93,1.9255,0.3095,0.00855,0.00386
94,1.8313,0.4956,0.02376,0.01205
95,1.8747,0.4422,0.02073,0.01011
96,1.9037,0.3578,0.01144,0.00583
97,1.9214,0.4457,0.01728,0.00936
98,1.7573,0.3037,0.00798,0.00579
99,2.1125,0.4393,0.01723,0.00842
